date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:38:18	186636/186636	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:16%20GMT	https://www.dejan.works/work/athotel/img/Athotel-Desktop-Profile-Old.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/athotel/img/Athotel-Desktop-Profile-Old.webp	(from https://www.dejan.works/work/athotel/)
03:38:21	277206/277206	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:16%20GMT	https://www.dejan.works/work/athotel/img/Athotel-Desktop-Profile.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/athotel/img/Athotel-Desktop-Profile.webp	(from https://www.dejan.works/work/athotel/)
03:38:21	128656/128656	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:16%20GMT	https://www.dejan.works/work/athotel/img/Athotel-Mobile-Room-Price.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/athotel/img/Athotel-Mobile-Room-Price.webp	(from https://www.dejan.works/work/athotel/)
03:38:23	138170/138170	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:16%20GMT	https://www.dejan.works/work/athotel/img/Athotel-Desktop-Checkout.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/athotel/img/Athotel-Desktop-Checkout.webp	(from https://www.dejan.works/work/athotel/)
03:38:23	276280/276280	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:16%20GMT	https://www.dejan.works/work/athotel/img/Athotel-Mobile-Profile.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/athotel/img/Athotel-Mobile-Profile.webp	(from https://www.dejan.works/work/athotel/)
03:38:27	141028/141028	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:16%20GMT	https://www.dejan.works/work/athotel/img/Athotel-Mobile-Checkout.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/athotel/img/Athotel-Mobile-Checkout.webp	(from https://www.dejan.works/work/athotel/)
03:38:37	113530/113530	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:17%20GMT	https://www.dejan.works/work/invision/img/DSM.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/invision/img/DSM.webp	(from https://www.dejan.works/work/invision/)
03:38:39	471376/471376	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:16%20GMT	https://www.dejan.works/work/athotel/img/Athotel-Desktop-Website-Latest.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/athotel/img/Athotel-Desktop-Website-Latest.webp	(from https://www.dejan.works/work/athotel/)
03:38:40	110796/110796	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:17%20GMT	https://www.dejan.works/work/invision/img/DSM-Relate.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/invision/img/DSM-Relate.webp	(from https://www.dejan.works/work/invision/)
03:38:42	56332/56332	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:17%20GMT	https://www.dejan.works/work/invision/img/DSM-Create.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/invision/img/DSM-Create.webp	(from https://www.dejan.works/work/invision/)
03:38:44	80760/80760	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:17%20GMT	https://www.dejan.works/work/invision/img/DSM-Welcome.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/invision/img/DSM-Welcome.webp	(from https://www.dejan.works/work/invision/)
03:38:46	98366/98366	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:17%20GMT	https://www.dejan.works/work/invision/img/DSM-Typography.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/invision/img/DSM-Typography.webp	(from https://www.dejan.works/work/invision/)
03:38:46	922815/922815	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Apr%202024%2013:14:18%20GMT	https://www.dejan.works/work/invision/video/InVision-DSM.png	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/invision/video/InVision-DSM.png	(from https://www.dejan.works/work/invision/)
03:38:47	84986/84986	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:17%20GMT	https://www.dejan.works/work/invision/img/DSM-Color.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/invision/img/DSM-Color.webp	(from https://www.dejan.works/work/invision/)
03:38:49	68972/68972	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:17%20GMT	https://www.dejan.works/work/invision/img/DSM-Edit.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/invision/img/DSM-Edit.webp	(from https://www.dejan.works/work/invision/)
03:38:53	44886/44886	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:17%20GMT	https://www.dejan.works/work/invision/img/DSM-Button.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/invision/img/DSM-Button.webp	(from https://www.dejan.works/work/invision/)
03:38:53	52474/52474	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:17%20GMT	https://www.dejan.works/work/invision/img/DSM-Add.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/invision/img/DSM-Add.webp	(from https://www.dejan.works/work/invision/)
03:38:55	73176/73176	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:17%20GMT	https://www.dejan.works/work/invision/img/DSM-What.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/invision/img/DSM-What.webp	(from https://www.dejan.works/work/invision/)
03:38:57	65790/65790	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:17%20GMT	https://www.dejan.works/work/invision/img/DSM-Hieararchy.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/invision/img/DSM-Hieararchy.webp	(from https://www.dejan.works/work/invision/)
03:39:01	293197/293197	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Apr%202024%2013:14:18%20GMT	https://www.dejan.works/work/invision/video/InVision-Craft.png	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/invision/video/InVision-Craft.png	(from https://www.dejan.works/work/invision/)
03:39:04	113878/113878	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:17%20GMT	https://www.dejan.works/work/invision/img/Craft-Sync-PS.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/invision/img/Craft-Sync-PS.webp	(from https://www.dejan.works/work/invision/)
03:39:07	94626/94626	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:17%20GMT	https://www.dejan.works/work/invision/img/Craft-Sync-Sketch.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/invision/img/Craft-Sync-Sketch.webp	(from https://www.dejan.works/work/invision/)
03:39:10	286034/286034	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:17%20GMT	https://www.dejan.works/work/invision/img/Craft-Prototypes.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/invision/img/Craft-Prototypes.webp	(from https://www.dejan.works/work/invision/)
03:39:10	61556/61556	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20Apr%202024%2013:14:17%20GMT	https://www.dejan.works/work/invision/img/Craft-Publish.webp	C:/Sharjeel/Software%20Engineering%20Career/Dawar_Bhai_bootcamp/portfolio_project/Portfolio/www.dejan.works/work/invision/img/Craft-Publish.webp	(from https://www.dejan.works/work/invision/)
